,tripReadId,partnerName,cargoTonnage,asset_type,loadedDate,source_region,destination_region,source,destination,goodType,asset_size,totalDistance,month,currency,amount
5015,TP1154770,Emaviv international services,12.0,Covered,2021-08-13 13:08:00+00:00,south west,north central,OGUN,KWARA,WINE AND SPIRIT,15.0,0.0,August,NGN,157500.0
5016,TP1154290,Ibrahim Lawal Nasidi,30.0,Open,2021-08-10 17:30:00+00:00,south west,south south,LAGOS,RIVERS,CORN FLOUR,30.0,624298.0,August,NGN,587280.0
5017,TP1153801,SIF-LOGISTICS,43.1,Open,2021-08-07 06:13:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,40.0,1086380.0,August,NGN,948200.0
5018,TP1153856,T SPLENDOR EMPORIUM LIMITED ,40.0,Flatbed,2021-08-07 11:49:00+00:00,south west,south south,OGUN,EDO,OTHERS,40.0,356316.0,August,NGN,264963.0
5019,TP1154339,WaveBond Enterprises Limited,30.0,Open,2021-08-11 06:48:00+00:00,south west,south south,OGUN,RIVERS,OTHERS,30.0,654248.0,August,NGN,479427.32
5020,TP1150442,Shehu na Shehu Transport & Logistics,30.83,Open,2021-07-11 16:33:00+00:00,north central,north west,BENUE,KANO,SOYABEAN SEEDS,35.0,631888.0,July,NGN,550000.0
5021,TP1154052,Powar Kevin Polycarp,35.0,Open,2021-08-07 13:19:00+00:00,north east,north west,ADAMAWA,KANO,SOYABEAN SEEDS,35.0,642091.0,August,NGN,540000.0
5022,TP1154315,RASHID LOGISTICS SERVICES,40.0,Open,2021-08-10 20:12:00+00:00,north west,north east,KANO,YOBE,SORGHUM,40.0,444440.0,August,NGN,320000.0
5023,TP1153574,Iyatawa Transport and Logistic Services,30.0,Open,2021-08-06 14:33:00+00:00,south west,north west,OGUN,KANO,OTHERS,30.0,1028542.0,August,NGN,634000.0
5024,TP1154475,Powar Kevin Polycarp,35.0,Open,2021-08-11 15:38:00+00:00,north east,north west,ADAMAWA,KANO,SOYABEAN SEEDS,35.0,642091.0,August,NGN,570000.0
5025,TP1154314,RASHID LOGISTICS SERVICES,35.0,Open,2021-08-10 20:09:00+00:00,north west,north east,KANO,YOBE,SORGHUM,35.0,444440.0,August,NGN,280000.0
5026,TP1154225,JASJOJESS LOGISTICS LIMITED,10.0,Open,2021-08-10 11:24:00+00:00,north west,south west,KADUNA,LAGOS,BEVERAGES AND DRINKS,20.0,844187.0,August,NGN,194000.0
5027,TP1154045,Powar Kevin Polycarp,35.0,Open,2021-08-07 13:16:00+00:00,north east,north west,ADAMAWA,KANO,SOYABEAN SEEDS,35.0,642091.0,August,NGN,555000.0
5028,TP1153080,MEJ Associates,53.5,Open,2021-08-01 17:15:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,40.0,1086380.0,August,NGN,1177000.0
5029,TP1154100,haggi consults ltd,30.0,Box,2021-08-09 16:32:00+00:00,south west,south south,OGUN,RIVERS,OTHERS,30.0,639616.0,August,NGN,489427.32
